order_id,customer_id,product_id,order_date,quantity,product_name,category,price,total_value
ORD5000,CUST1110,PROD142,2024-12-02,3,Above,Toys,385.61,1156.83
ORD5001,CUST1760,PROD137,2024-10-10,1,Election,Electronics,264.18,264.18
ORD5002,CUST1662,PROD139,2025-03-08,4,Group,Books,399.25,1597.0
ORD5003,CUST1182,PROD135,2024-12-16,2,Director,Electronics,455.68,911.36
ORD5004,CUST1847,PROD149,2024-07-10,4,Air,Clothing,174.07,696.28
ORD5005,CUST1094,PROD142,2025-01-17,1,Above,Toys,385.61,385.61
ORD5006,CUST1970,PROD136,2025-05-28,1,Site,Home,152.49,152.49
ORD5007,CUST1373,PROD114,2025-04-15,3,Themselves,Electronics,157.35,472.04999999999995
ORD5008,CUST1911,PROD127,2024-10-11,4,Ago,Clothing,490.33,1961.32
ORD5009,CUST1519,PROD117,2025-06-30,4,Chair,Clothing,48.76,195.04
ORD5010,CUST1899,PROD133,2024-12-05,4,Window,Electronics,275.99,1103.96
ORD5011,CUST1359,PROD121,2024-10-26,2,Almost,Electronics,213.17,426.34
ORD5012,CUST1899,PROD110,2025-03-04,3,Site,Toys,15.98,47.94
ORD5013,CUST1695,PROD112,2024-10-02,1,Stuff,Home,240.72,240.72
ORD5014,CUST1280,PROD103,2025-04-11,1,Case,Toys,129.46,129.46
ORD5015,CUST1194,PROD121,2025-01-10,3,Almost,Electronics,213.17,639.51
ORD5016,CUST1863,PROD106,2024-09-11,1,Car,Books,439.72,439.72
ORD5017,CUST1194,PROD142,2025-06-19,1,Above,Toys,385.61,385.61
ORD5018,CUST1666,PROD123,2024-11-30,3,Bill,Clothing,321.48,964.44
ORD5019,CUST1092,PROD103,2024-07-11,1,Case,Toys,129.46,129.46
ORD5020,CUST1671,PROD127,2025-02-19,4,Ago,Clothing,490.33,1961.32
ORD5021,CUST1945,PROD114,2025-02-23,2,Themselves,Electronics,157.35,314.7
ORD5022,CUST1060,PROD100,2025-03-21,3,Follow,Electronics,192.04,576.12
ORD5023,CUST1633,PROD102,2024-08-04,2,Focus,Electronics,106.5,213.0
ORD5024,CUST1050,PROD113,2024-10-13,1,Run,Toys,416.53,416.53
ORD5025,CUST1402,PROD137,2024-09-01,1,Election,Electronics,264.18,264.18
ORD5026,CUST1788,PROD149,2024-10-22,4,Air,Clothing,174.07,696.28
ORD5027,CUST1004,PROD100,2025-01-14,3,Follow,Electronics,192.04,576.12
ORD5028,CUST1465,PROD137,2024-08-25,1,Election,Electronics,264.18,264.18
ORD5029,CUST1603,PROD137,2025-02-11,3,Election,Electronics,264.18,792.54
ORD5030,CUST1681,PROD120,2025-04-28,3,Seat,Toys,242.62,727.86
ORD5031,CUST1828,PROD147,2025-06-10,3,Discover,Toys,108.52,325.56
ORD5032,CUST1533,PROD128,2025-05-27,3,Station,Electronics,306.0,918.0
ORD5033,CUST1404,PROD104,2025-05-12,3,Cup,Books,140.99,422.97
ORD5034,CUST1837,PROD148,2025-02-17,2,Thousand,Clothing,291.93,583.86
ORD5035,CUST1512,PROD109,2024-10-01,4,Understand,Home,137.99,551.96
ORD5036,CUST1644,PROD127,2025-02-28,3,Ago,Clothing,490.33,1470.99
ORD5037,CUST1232,PROD120,2024-09-14,2,Seat,Toys,242.62,485.24
ORD5038,CUST1523,PROD149,2024-11-08,1,Air,Clothing,174.07,174.07
